movie_name,soundtrack_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Se7en,Trouble Man ,0.686,0.352,0.0323,0.767,0.0185,0.0992,0.502,107.129
Se7en,"Straight, No Chaser ",0.558,0.221,0.0718,0.749,0.771,0.828,0.508,96.481
Se7en,Now's the Time ,0.615,0.263,0.0446,0.728,0.0144,0.117,0.524,127.223
Se7en,Gypsy Csardas ,0.393,0.288,0.0658,0.953,0.408,0.207,0.379,94.739
Se7en,The Fourth Man ,0.73,0.212,0.453,0.96,0.0,0.11,0.742,101.544
Se7en,Love Plus One ,0.389,0.868,0.0912,0.295,0.0321,0.061,0.165,127.873
Se7en,Lust ,0.439,0.747,0.427,0.254,0.0,0.202,0.489,163.127
Se7en,In the Beginning ,0.143,0.372,0.0367,0.571,0.889,0.0994,0.0581,140.111
Se7en,Guilty ,0.437,0.332,0.0341,0.811,0.000142,0.361,0.173,123.64
Se7en,Speaking of Happiness ,0.743,0.747,0.0374,0.031,0.0,0.2,0.691,101.01
Se7en,The Hearts Filthy Lesson ,0.565,0.798,0.087,0.00146,0.0201,0.33,0.433,88.954
Seven Samurai,It looks like we don't have any Soundtracks for this title yet.,0.339,0.209,0.0386,0.99,0.928,0.121,0.113,143.817
It's a Wonderful Life,Buffalo Gal (Won't You Come Out Tonight) ,0.568,0.256,0.0414,0.842,0.0,0.0924,0.423,185.088
It's a Wonderful Life,Adeste Fidelis (O Come All Ye Faithful) ,0.437,0.225,0.0444,0.79,0.000117,0.106,0.304,102.509
It's a Wonderful Life,"Twinkle, Twinkle, Little Star ",0.312,0.073,0.049,0.935,0.909,0.0995,0.151,118.421
It's a Wonderful Life,Charleston ,0.847,0.498,0.0327,0.546,0.709,0.0754,0.621,100.047
It's a Wonderful Life,My Wild Irish Rose ,0.234,0.174,0.0334,0.969,1.05e-05,0.0992,0.216,92.019
It's a Wonderful Life,Avalon ,0.377,0.702,0.032,0.00119,0.479,0.419,0.239,142.04
It's a Wonderful Life,Wedding March ,0.437,0.225,0.0444,0.79,0.000117,0.106,0.304,102.509
It's a Wonderful Life,The Stars and Stripes Forever ,0.766,0.384,0.0393,0.4,0.00687,0.195,0.547,131.906
