,name,year,song_name,written_by,performed_by,composed_by,lyrics_by,written_performed_by,music_by,courtesy_of,conducted_by,libretto_by,under_license_from
128,Forrest Gump,1994,Love Her Madly ,Robby Krieger (as The Doors) ,The Doors ,NA,NA,NA,NA,Elektra Entertainment ,NA,NA,NA
129,Forrest Gump,1994,Let's Work Together ,NA,Canned Heat ,NA,NA,NA,NA,"EMI Records USA, a division of ERG ",NA,NA,CEMA Special Markets
130,Forrest Gump,1994,Raindrops Keep Fallin' on My Head ,NA,B.J. Thomas ,NA,Hal David ,NA,Burt Bacharach ,"Highland Music, Inc. ",NA,NA,NA
131,Forrest Gump,1994,Tie a Yellow Ribbon 'Round the Ole Oak Tree ,NA,Tony Orlando & Dawn (as Tony Orlando and Dawn) ,NA,NA,NA,NA,"Arista Records, Inc.",NA,NA,NA
132,Forrest Gump,1994,Jesus on the Mainline ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Forrest Gump,1994,Get Down Tonight ,NA,KC & The Sunshine Band ,NA,NA,NA,NA,Rhino Records ,NA,NA,NA
134,Forrest Gump,1994,Free Bird ,NA,Lynyrd Skynyrd ,NA,NA,NA,NA,MCA Records,NA,NA,NA
135,Forrest Gump,1994,Mr. President (Have Pity on the Working Man) ,NA,NA,NA,NA,NA,NA,Warner Bros. Records Inc. ,NA,NA,NA
136,Forrest Gump,1994,My Rock ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Forrest Gump,1994,Sweet Home Alabama ,NA,Lynyrd Skynyrd ,NA,NA,NA,NA,MCA Records,NA,NA,NA
138,Forrest Gump,1994,Plant My Feet on Higher Ground ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Forrest Gump,1994,I've Got a New Home ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Forrest Gump,1994,It Keeps You Runnin' ,NA,The Doobie Brothers ,NA,NA,NA,NA,Warner Bros. Records Inc. ,NA,NA,NA
141,Forrest Gump,1994,Running On Empty ,NA,NA,NA,NA,NA,NA,Elektra Entertainment ,NA,NA,NA
142,Forrest Gump,1994,I've Got to Use My Imagination ,NA,Gladys Knight & The Pips ,NA,NA,NA,NA,"Essex Entertainment, Inc. ",NA,NA,NA
143,Forrest Gump,1994,Go Your Own Way ,NA,Fleetwood Mac ,NA,NA,NA,NA,Warner Bros. Records Inc. ,NA,NA,NA
144,Forrest Gump,1994,On The Road Again ,NA,NA,NA,NA,Willie Nelson ,NA,Columbia Records ,NA,NA,NA
145,Forrest Gump,1994,Against The Wind ,NA,Bob Seger & The Silver Bullet Band ,NA,NA,NA,NA,Capitol Records ,NA,NA,CEMA Special Markets
146,Fight Club,1999,Coffee Shop Zak ,NA,NA,Rolfe Kent ,NA,NA,NA,Twentieth Century Fox Film Corporation,NA,NA,NA
147,Fight Club,1999,Svarga ,NA,Vas ,"Azam Ali, Greg Ellis ",NA,NA,NA,"Narada Producations, Inc.",NA,NA,NA
148,Fight Club,1999,Girl From Ypsilanti ,NA,NA,NA,NA,Daniel May ,NA,Marc Ferrari/MasterSource,NA,NA,NA
