song_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,cluster_id
336.0,0.992,0.615,0.189,0.901,0.0963,0.058,0.282,87.0
337.0,0.953,0.41,0.196,0.892,0.0974,0.0383,0.0622,5.0
338.0,0.193,0.664,0.666,0.0,0.0854,0.0446,0.405,418.0
339.0,0.989,0.539,0.0695,0.923,0.0875,0.0523,0.197,206.0
340.0,0.925,0.629,0.0837,2.07e-05,0.115,0.0473,0.444,432.0
341.0,0.872,0.348,0.171,0.895,0.15,0.0399,0.481,294.0
342.0,0.993,0.199,0.00834,0.882,0.0555,0.0389,0.0411,331.0
343.0,0.984,0.347,0.153,0.895,0.149,0.0322,0.15,177.0
344.0,0.986,0.337,0.151,0.886,0.0576,0.0388,0.0407,177.0
345.0,0.995,0.278,0.00245,0.881,0.114,0.0497,0.293,89.0
346.0,0.937,0.418,0.144,0.894,0.0795,0.0453,0.677,252.0
347.0,0.967,0.553,0.109,0.00133,0.0661,0.0635,0.504,85.0
348.0,0.995,0.388,0.00269,0.869,0.063,0.0516,0.0397,491.0
349.0,0.986,0.337,0.151,0.886,0.0576,0.0388,0.0407,177.0
350.0,0.969,0.639,0.302,0.957,0.16,0.0453,0.749,27.0
351.0,0.00319,0.391,0.736,0.788,0.188,0.0493,0.55,154.0
352.0,0.0674,0.593,0.957,0.728,0.572,0.0563,0.914,370.0
353.0,0.000269,0.384,0.595,0.0,0.55,0.077,0.424,221.0
354.0,0.0634,0.402,0.391,0.0,0.296,0.0406,0.568,480.0
355.0,0.412,0.297,0.518,1.1e-05,0.298,0.0378,0.496,123.0
356.0,0.321,0.689,0.533,7.37e-05,0.0958,0.0544,0.898,484.0
357.0,0.71,0.583,0.602,0.0,0.289,0.398,0.842,205.0
358.0,0.268,0.699,0.417,0.0,0.1,0.0926,0.372,210.0
359.0,0.617,0.408,0.313,1.18e-05,0.115,0.137,0.725,483.0
