song_name,artist,pos_percent,spotify_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
this is what falling in love feels like,JVKE,0.73655914,2PWTZV5znjLtZC5T1EVJvL,0.617,0.422,0.44,0,0.0837,0.0544,0.332
Eye Lv U,Oberhofer,0.906779661,6stlARvW1qhzfGhxUBMnVF,0.0127,0.367,0.581,0,0.134,0.0895,0.549
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,0.887445887,2tUBqZG2AbRi7Q0BIrVrEj,0.207,0.709,0.824,0.000307,0.0888,0.0453,0.867
Love On Top,Beyoncé,0.924471299,1z6WtY7X4HQJvzxC4UgkSf,0.0848,0.652,0.749,0,0.604,0.0886,0.651
Girls Just Want to Have Fun,Cyndi Lauper,0.962025316,4y1LsJpmMti1PfRQV9AWWe,0.22,0.71,0.799,0.000602,0.349,0.0328,0.725
ABC,The Jackson 5,0.854166667,6D8kc7RO0rqBLSo2YPflJ5,0.519,0.572,0.786,0.00093,0.11,0.0642,0.952
Here Comes The Sun - Remastered 2009,The Beatles,0.482625483,6dGnYIeXmHdcikdzNNDMm2,0.0339,0.557,0.54,0.00248,0.179,0.0347,0.394
Classic,MKTO,0.86746988,6FE2iI43OZnszFLuLtvvmg,0.0384,0.72,0.791,0,0.157,0.124,0.756
Move Your Feet,Junior Senior,0.926573427,4DX82Vc8qAH4jJPvKxvwg6,0.046,0.747,0.904,0.106,0.203,0.0803,0.846
Locked out of Heaven,Bruno Mars,0.979118329,3w3y8KPTfNeOKPiqUTakBh,0.049,0.726,0.698,0,0.309,0.0431,0.867
Respect,Aretha Franklin,0.741935484,7s25THrKz86DM225dOYwnr,0.164,0.805,0.558,2.20E-05,0.0546,0.041,0.965
Fuck You,CeeLo Green,0.544364508,3ydfhgIZIc2j39NLIhpJpq,0.193,0.693,0.879,0,0.124,0.0578,0.753
Hey Ya!,Outkast,0.540229885,2PpruBYCo4H7WOBJ7Q2EwM,0.103,0.727,0.974,0.000532,0.174,0.0664,0.965
I Got You (I Feel Good),James Brown & The Famous Flames,0.824786325,5haXbSJqjjM0TCJ5XkfEaC,0.412,0.613,0.487,1.02E-05,0.286,0.0935,0.699
Unwritten,Natasha Bedingfield,0.196078431,3U5JVgI2x4rDyHGObzJfNf,0.00584,0.706,0.8,0,0.0822,0.0399,0.629
Twist And Shout - Remastered 2009,The Beatles,0.581395349,5ZBeML7Lf3FMEVviTyvi8l,0.641,0.482,0.849,7.74E-06,0.0414,0.0452,0.937
"I'll Be There for You - Theme From ""Friends""",The Rembrandts,0.320819113,15tHagkk8z306XkyOHqiip,0.0717,0.32,0.917,0,0.169,0.0771,0.715
We Go Together - From “Grease”,John Travolta,0.643979058,5CyZPkmTBmq61SunRDysna,0.228,0.732,0.803,0,0.659,0.202,0.776
It's Not Unusual,Tom Jones,0.379194631,3TlIt0ReIxPsVZcOEivT5U,0.598,0.476,0.722,0,0.184,0.0646,0.909
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,0.505454545,07Oz5StQ7GRoygNLaXs2pd,0.298,0.668,0.892,0,0.735,0.0645,0.478
Don't Stop Me Now - Remastered 2011,Queen,0.705555556,5T8EDUDqKcs6OSOwEsfqG7,0.0475,0.559,0.868,0.000176,0.776,0.17,0.609
Uptown Funk (feat. Bruno Mars),Mark Ronson,0.917127072,32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,0.609,8.15E-05,0.0344,0.0824,0.928
I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,0.742160279,1qEHgdFqUxFebMPk8s2HLY,0.0156,0.711,0.924,0,0.114,0.0282,0.912
Twist And Shout,Chaka Demus & Pliers,0.840163934,4wrS2dvdYei9jZN0JlUBP6,0.224,0.802,0.82,0,0.293,0.0334,0.977
Lovefool - Radio Edit,The Cardigans,0.515267176,0u4htORODiTK9vHVA89MQX,0.0646,0.64,0.602,0,0.375,0.0299,0.951
You're The One That I Want - From “Grease”,John Travolta,0.264550265,0B9x2BRHqj3Qer7biM3pU3,0.281,0.758,0.612,0.00288,0.0954,0.0598,0.822
Treasure,Bruno Mars,0.954385965,55h7vJchibLdUkxdlX3fK7,0.0412,0.874,0.692,7.24E-05,0.324,0.0431,0.937
Mr. Brightside,The Killers,0.473880597,003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0,0.0995,0.0747,0.236
Jungle Drum,Emilíana Torrini,0.902777778,49sGyqfSqURWHIKDbkTfdQ,0.131,0.637,0.89,0.0055,0.0735,0.0747,0.858
Uptown Girl,Billy Joel,0.906666667,5zA8vzDGqPl2AzZkEYQGKh,0.0755,0.701,0.944,0,0.601,0.0455,0.792
I'm a Believer,The Monkees,0.669376694,1CSLeVCXmetBh8IkTPMFdL,0.595,0.502,0.772,2.47E-06,0.199,0.0322,0.935
I Want You Back,The Jackson 5,0.573913043,5LxvwujISqiB8vpRYv887S,0.305,0.469,0.538,0.00012,0.37,0.0571,0.886
I'm Like A Bird,Nelly Furtado,0.92,2aGw77pZqli064JiPuXYRi,0.147,0.623,0.607,3.29E-06,0.227,0.0353,0.614
Kung Fu Fighting,Carl Douglas,0.324483776,40NRm1ZLvZpUSCUXAGGZ8J,0.0422,0.598,0.673,6.90E-05,0.289,0.0693,0.59
Ho Hey,The Lumineers,0.845679012,1K3LRUEcUz5FMtPYyg0F45,0.765,0.682,0.471,0,0.0908,0.0301,0.421
Footloose,Blake Shelton,0.228448276,3uOgYjdEyuKVTjapKtL7Xy,0.00121,0.52,0.924,2.31E-06,0.128,0.0686,0.844
Do You Love Me,The Contours,0.787301587,0MRYsngZv8UGICDehOYuYJ,0.78,0.578,0.524,0.00868,0.141,0.0454,0.861
